Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=3544467a7b64376f,[전문연구요원] 의료영상 리서치 엔지니어 정규직,서울 마포구,"년 이상 )학력사항: 학력무관직무기술: VISUALC++, 응용프로그래밍, C·C++, Python, AI개발 2 명 근무조건 고용형태: 정규직(수습... 통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=ea9fdae6d542239b,산학겸임교사(정보 분야),서울 강남구,"산학겸임교사를 아래와 같이 추가 채용 공고합니다. 1. 채용부분 가. 구분: 산학겸임교사(3명) 나. 분야: C언어, Python, JAVA, 데이터베이스, Linux, 웹프로그래밍 다. 채용기간: 2022. 3. 1.(또는..."
https://kr.indeed.com/viewjob?jk=a748b716394eefbc,메타버스 기반 항공시뮬레이터 S/W개발자,서울 강남구,위하여 XR 디바이스 등을 적용한 새로운&nb 인터넷·IT·통신·모바일·게임>전산·IT기술지원>S/W 엔지니어|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++
https://kr.indeed.com/viewjob?jk=f9a30da64da7f738,[NHN SOFT] iOS 앱개발,성남 분당구,모바일 앱(iOS) 신규 개발 및 기존 서비스 유지보수 Objective- C/Swift를 이용한 네이티브 앱 서비스 개발 경력 5년 이상 다양한 UI... 모바일·게임>응용프로그래머>Pro- C|인터넷·IT·통신·모바일·게임>응용프...
https://kr.indeed.com/viewjob?jk=8c61c3ff2672787c,운영본부 고객응대 C/S 인원(플랫폼관련),경기도 시흥,직무내용] 플랫폼 운영관리 보조거래처 C/S 응대 및 관리 [근무시간 및 형태] 주 5일 근무 (오전) 8시 30분~(오후) 6시 00분 주소정근로시간 : 40시간 [급여조건] - 연봉 28000000원 이상 - 상여금...
https://kr.indeed.com/viewjob?jk=cce739f8b2b0ab64,"대기업 - 디지털 회로설계(FPGA,VHDL)대리",서울,"련자격요건 : - Digital 회로 설계 능력 - MCU, VHDL/FPGA 사용 능력 - Python, C 등 Programming 언어 사용 능력 - 고속 신호 품질 측정을 위한 계측기 사용 능력우대사항 : - FPGA..."
https://kr.indeed.com/viewjob?jk=2298209c9a91aa84,[계약직] 임원 비서 모집,성남 판교역,모집분야 Management Supporting > 지원 > 비서 업무내용 - C Level 임원 관련 지원 업무 - CFO (Chief Financial Officer / 최고재무책임자) 서포트 업무 - 수행 임원...
https://kr.indeed.com/viewjob?jk=09e1365b7d57a275,윈도우 응용소프트웨어 개발 - 스타트업 구성원,서울 금천구,"경험 3년 이상 - 전공 : 컴퓨터 공학 관련학과 필수요건 - VisualC/C++&VisualBasic, C/C++ 개발가능자 - 소프트웨어공학 실무우대사항- TOEIC 800급(점) 이상- 정보처리기사- HCI(Human..."
https://kr.indeed.com/viewjob?jk=c8ec0bb8a51e2ddb,전략기획 국내 대기업,서울특별시,"Catching, 비즈니스 통찰력 - 기반역량 : 전략기획, 기업 비즈니스 모델 및 재무 분석, 제조사 V/ C 구조에 대한 이해 - CPG(특히 종합식품社) 관련 전략/기획/분석/투자 관련 프로젝트 경험 우대 기타정보..."
https://kr.indeed.com/viewjob?jk=154870d3c8d4e208,응용프로그램 개발자/응용소프트웨어 엔지니어(알고리즘 설계) 신입/경력 정규직,성남 분당구,통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임... C++ Builder|인터넷·IT·통신·모바일·게임>응용프로그래머>Pro- C|인터넷·IT·통신·모바일·게임>응용프로그래머>Win32|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=5420a9822ef195e6,2020년 하반기 개발부문,서울 성동구,"GIS SW 개발 지도 Database 변환 SW 개발 및 유지보수 - C&C++ 개발 경험자 - SP(DB Stored procedeur) 개발자... 점군데이터 위치정합 및 객체인식 - C&C++, Java 개발 경험자 2..."
https://kr.indeed.com/viewjob?jk=99d6baea1ad7fb4b,[서대문역) DL 이엔씨 자금팀 경리회계무역 사무원,서울,"인원 [담당업무] 자금 업무 - 자재관리 프로그램을 통한 자금집행 접수 및 검수 (국내업체) - 수출신용장 (L/ C) 현황 관리 및 수수료 납부 - 은행 입금증, 전문 관리 - 전표 처리 및 관리 [근무부서 및 직급/직책..."
https://kr.indeed.com/viewjob?jk=69a5690f8a4ca470,Software Engineer (소프트웨어 개발자),성남 분당구,"컴퓨터 공학 관련 학과 대졸 이상2. C/C++, C#, Python 등의... 의료 산업 경험자[채용조건] 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Python|인터넷..."
https://kr.indeed.com/viewjob?jk=2a494e5becfb158a,[Creative] IT/System Engineer (5년 이상),서울 강남구,"드립니다.필요 시 면접은 추가될 수 있으며, 이에 대한 상세 내 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석..."
https://kr.indeed.com/viewjob?jk=2e35f0352ef714f5,[디지털금융] 백엔드 개발,서울 강남구,후 결정 가능 [장애인채용희망여부] 비희망 [병역특례] - 비희망 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#
https://kr.indeed.com/viewjob?jk=0a14b089b878b758,안전관리자,전라남도 영암,"직무내용] 조선기자재(블럭생산 등) 생산 안전관리자안전서류 및 관리업무, 현장안전관리 등 - 2명채용산업보건안전에 관한 업무(제조업) - 1명채용임금 협의는 경력에 따른 사항으로 면접 진행 후 결정 [근무시간 및 형태] 주..."
https://kr.indeed.com/viewjob?jk=a7d330ca32d3290b,증권사 전산 개발 (대리-과장급) - 유명 금융권,서울,"출납/권리 업무 유경험자 우대 3. C언어, SQL 등 개발 경력자, 관련... 전산개발 경력 3~10년2.증권사 계좌/출납/권리 업무 유경험자 우대3. C언어, SQL 등 개발 경력자, 관련 자격증 보유자 우대 1 명 근무조건..."
https://kr.indeed.com/viewjob?jk=3617e30a1af44426,[NHN SOFT] Back-End 경력 개발자,성남 분당구,게임>응용프로그래머>Objective- C|인터넷·IT·통신·모바일·게임... 프로그래머>Win32|인터넷·IT·통신·모바일·게임>응용프로그래머>Pro- C|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바...
